# f,ax,ay,az
1.950000000000000000e+01,2.155314558746528688e-06,5.547665157991349759e-07,6.117751160583979002e-07
2.000000000000000000e+01,4.170703769635876479e-07,3.815486286530125578e-07,3.455905454545893790e-07
2.050000000000000000e+01,2.870534522332864739e-07,8.157657441989587732e-08,5.204977959823469675e-07
2.100000000000000000e+01,2.770876681962072010e-07,4.828722884016040722e-07,3.798336867510517240e-08
2.150000000000000000e+01,1.148637382116604011e-06,1.732176849289147079e-06,1.878407391327823941e-07
2.200000000000000000e+01,3.025689765762592370e-06,1.700623179402161908e-06,2.787922871992573091e-07
2.250000000000000000e+01,1.705080590399709225e-06,5.195242412961078039e-07,4.955152734162209637e-07
2.300000000000000000e+01,1.638458144306756859e-06,2.304780674024171705e-06,1.771221140571046644e-06
2.350000000000000000e+01,2.525599667445719927e-06,9.287089239557477931e-07,1.493854922164603238e-06
2.400000000000000000e+01,1.425418654716389817e-06,2.397446450575968273e-07,2.969611872462492577e-07
2.450000000000000000e+01,1.360619345796102679e-06,1.256615540063647915e-07,2.133766666344202113e-07
2.500000000000000000e+01,6.905075957462365739e-08,5.753949152443077222e-08,2.564776123541580888e-06
2.550000000000000000e+01,6.947889137533278271e-07,1.567901516293142907e-06,2.494612585238537636e-06
2.600000000000000000e+01,1.916928577754020762e-07,2.495983853114315660e-06,2.314026168474074439e-06
2.650000000000000000e+01,2.645028548917882054e-07,4.005389948828992494e-07,2.020913324718157781e-06
2.700000000000000000e+01,4.343012712331553704e-07,4.560204250674548812e-07,1.583023518414491073e-07
2.750000000000000000e+01,4.457149097975316059e-07,7.138645374139840259e-07,4.940467654049300859e-06
2.800000000000000000e+01,6.891119235869183890e-07,4.896065792981290014e-07,3.619176791568686266e-06
2.850000000000000000e+01,1.836386112832777726e-06,1.676810549476467915e-07,1.602062012011001614e-06
2.900000000000000000e+01,1.769736189085258164e-06,2.043538004377020459e-07,2.749011717076389566e-06
2.950000000000000000e+01,1.078786474096439368e-06,2.915951840668184494e-07,2.002717740057067876e-06
